Serial Number,LD,Text,Tint,Bias(mA),slope,intercept,r_value,p_value,std_err
AAA249,2,30.0,45.0,0.0,0.006678318027913318,977.6770051461451,0.9972634103232436,2.188008810613462e-18,0.0001278303850972291
AAA249,2,30.0,45.0,900.0,0.006708446264575193,977.6023630117166,0.996896001846041,5.6224969027829636e-18,0.00013679332705922507
AAA249,2,30.0,45.0,1800.0,0.00671529401285838,977.518985165145,0.9974520022691973,1.281457881547663e-18,0.0001240123937427154
AAA249,1,30.0,45.0,0.0,0.0060782842835118995,978.3194220917553,0.9957664871379,5.746006847609654e-17,0.00014487157363429762
AAA249,1,30.0,45.0,900.0,0.006275997697232346,978.086757723414,0.9939884433937297,7.930353762194995e-16,0.0001784886479766051
AAA249,1,30.0,45.0,1800.0,0.006221821574575626,978.124658386465,0.9940464897094795,7.374987467717612e-16,0.0001760838076943223
AAA249,2,27.0,45.0,0.0,0.006588402148618993,977.803620581551,0.9960256552554662,3.580340595588601e-17,0.00015211770804450498
AAA249,2,27.0,45.0,900.0,0.006681199566273981,977.6464919588217,0.9968051945782067,6.97811587273419e-18,0.0001382256298270953
AAA249,2,27.0,45.0,1800.0,0.006602075660460177,977.6677574565146,0.9973040002827377,1.956256771317051e-18,0.0001254265029005825
AAA249,1,27.0,45.0,0.0,0.006376478250082817,977.9953307348297,0.9924925873726486,4.180224151860251e-15,0.00020288572056561933
AAA249,1,27.0,45.0,900.0,0.006160476222789407,978.2607772480171,0.9958710888664758,4.7643814313110065e-17,0.00014499383708071285
AAA249,1,27.0,45.0,1800.0,0.0061993879557992225,978.1834055616035,0.9945820981791401,3.642210555940003e-16,0.00016730313211763895
AAA249,2,25.0,45.0,0.0,0.006638064990119427,977.7311687581768,0.9957789703903489,5.62034630250515e-17,0.00015797862904350606
AAA249,2,25.0,45.0,900.0,0.00659068596865717,977.7869910311093,0.995195964433645,1.4806222704984856e-16,0.00016740648166423602
AAA249,2,25.0,45.0,1800.0,0.00657793348006227,977.7396275296898,0.9950920076127319,1.7379891103914335e-16,0.00016889391946676096
AAA249,1,25.0,45.0,0.0,0.006565557966900275,977.7541460972313,0.991843298917469,7.772671492274349e-15,0.0002178551369950645
AAA249,1,25.0,45.0,900.0,0.006397665266976346,977.9724896031603,0.9930644734082938,2.311173549479423e-15,0.0001955684677635187
AAA249,1,25.0,45.0,1800.0,0.006338048488652037,978.0781161169616,0.9935251596194282,1.3820700590528587e-15,0.00018713561648234464
AAA250,2,75.0,45.0,0.0,0.006750319152107175,977.4963089389295,0.9927314111585313,3.2824379345244547e-15,0.0002112984679644582
AAA250,2,75.0,45.0,900.0,0.00672689826894574,977.5734830710369,0.9911757194806097,1.399496169364734e-14,0.00023228064449347453
AAA250,2,75.0,45.0,1800.0,0.006745538454506571,977.4722487922521,0.9934573388074873,1.49412043308617e-15,0.0002002176958772785
AAA250,1,75.0,45.0,0.0,0.006273416673824457,978.1235499143428,0.9936374113348926,1.2125679364784353e-15,0.000183599113855403
AAA250,1,75.0,45.0,900.0,0.006262646018360682,978.1553901644163,0.9939371807317108,8.450573253554101e-16,0.0001788736403014338
AAA250,1,75.0,45.0,1800.0,0.0063071959985742465,978.1056639153047,0.9948578732969945,2.463465928733902e-16,0.00016578950031338104
AAA250,2,25.0,45.0,0.0,0.006574518332702252,977.8466881654887,0.9955761360996545,7.987028081343851e-17,0.0001602060315933355
AAA250,2,25.0,45.0,900.0,0.006524633778520753,977.8765964028504,0.9962313557239101,2.404794676392481e-17,0.00014667237130832955
AAA250,2,25.0,45.0,1800.0,0.0065758408179456135,977.7661363984975,0.9957489294409222,5.926863959816002e-17,0.00015705722623235574
AAA250,1,25.0,45.0,0.0,0.0062120803595686076,978.1244542866748,0.9936542000520123,1.1888334417421106e-15,0.0001815617112602018
AAA250,1,25.0,45.0,900.0,0.00626821341483426,978.1201796739134,0.9944104100867632,4.600095688332128e-16,0.00017184215974346497
AAA250,1,25.0,45.0,1800.0,0.00623464363197606,978.1867102424831,0.9936621944302908,1.1776737855680339e-15,0.0001821052561003174
AAA250,2,0.0,45.0,0.0,0.0066053886195859045,978.2377394642233,0.9927559602828167,3.2004244910266844e-15,0.00020640856329601562
AAA250,2,0.0,45.0,900.0,0.006656843629475437,978.14496858071,0.9909809043876546,1.6476154144829928e-14,0.00023241945728284198
AAA250,2,0.0,45.0,1800.0,0.006594529305494604,978.170536486451,0.9926309883213129,3.637178755791257e-15,0.0002078587955320505
AAA250,1,0.0,45.0,0.0,0.006442996038049208,978.1757872940071,0.996157936206283,2.77863891749996e-17,0.00014624929161826582
AAA250,1,0.0,45.0,900.0,0.006548997049156012,978.0183101964536,0.9964467576056913,1.5475487242562516e-17,0.00014292768213043772
AAA250,1,0.0,45.0,1800.0,0.00640829129126335,978.2461076392324,0.996791246210289,7.209591305857517e-18,0.0001328699981601519
